reg_no,name,email,phone,branch,course,DOB
26BRS5657,Shrey aMishra,shreyamishra443@gmail.com,9501734582,Artificial Intelligence and Robotics,B.Tech,2008-08-09
22BMH7091,Arjun Patel,arjun.patel262@yahoo.com,9964087773,Mechanical Engineering,BTech,2004-10-09
24BAI6460,Arjun Pillai,arjun.pillai298@gmail.com,9751814898,Artificial Intelligence & Machine Learning,BTech,2005-02-28
25BMH5186,Vivek Mishra,vivek.mishra189@yahoo.com,9864406244,Mechanical,B.Tech,2006-04-30
26BCE6436,Sanya Desai,sanya.desai390@outlook.com,9835028628,Computer Science,Bachelor of Technology,2009-07-16
25BCE5478,Roahn Verma,rohan.verma990@gmail.com,9063351001,CSE,B.Tech,2006-05-14
24EEE3926,Tanvi Bose,tanvi.bose229@gmail.com,9862432524,Electrical,BTech,2007-05-19
24EEE8383,Tanvi Verma,tanvi.verma896@gmail.com,9660946798,Electrical and Electronics,B.Tech,15-05-2005
22BEC9458,rahul rao,rahul.rao193@outlook.com,9349494249,Electronics,Bachelor of Technology,2004-05-13
25BAI3436,Arjun Reddy,arjun.reddy798@yahoo.com,9841701189,Artificial Intelligence & Machine Learning,B.Tech,2007-07-13
23BEC5296,Neha Nair,neha.nair186@outlook.com,+91-92117-95917,Electronics and Communication,BTech,2004-09-15
25BAI1366,Akash Mehta,akash.mehta543@outlook.com,09015415629,AI & ML,BTech,2008-08-10
26BRS2216,Ishita Kapoor,ishita.kapoor498@gmail.com,+91 9522510515,AI & Robotics,BTech,2007-08-23
21BRS3290,Neha Sharma,neha.sharma615@outlook.com,9651307070,AI & Robotics,B.Tech,2002-01-09
22BAI5738,AkashKapoor,akash.kapoor710@outlook.com,+91-91872-06757,AI/ML,BTech,2005-12-16
26BAI6493,Akash Agarwal,akash.agarwal257@gmail.com,+91-96352-19024,Artificial Intelligence and Machine Learning,B.Tech,2009-09-21
25BMH1407,A. Rao,aditya.rao208@outlook.com,9512427786,Mechanical,B.Tech,2007-09-24
23BCE8070,Diya Kumar,diya.kumar489@outlook.com,9657309688,Computer Science and Engineering,Bachelor of Technology,2004-06-12
21BAI3529,Anjali Agarwal,anjali.agarwal588@gmail.com,+91 9192612254,Artificial Intelligence & Machine Learning,BTech,2003-01-24
22BCE1307,KarthikMenon,karthik.menon934@gmail.com,9378118325,Computer Science and Engineering,BTech,2005-09-12
22BEC8357,Ananya Sharma,ananya.sharma449@outlook.com,9496296870,Electronics and Communication Engineering,B.Tech,2005-12-20
23BEC9258,Rahul Joshi,rahul.joshi612@outlook.com,09953039333,ECE,B.Tech,2005-03-11
21BRS4317,Aditya K Kapoor,aditya.kapoor264@gmail.com,9667523197,AI & Robotics,BTech,2003-08-20
25BAI9690,Vivek Reddy,vivek.reddy913@yahoo.com,+91 9072264130,AI & ML,BTech,2008-01-18
21EEE1493,Meera Bose,meera.bose727@gmail.com,9161949646,Electrical and Electronics,B.Tech,2004-01-17
26EEE1755,Diya Gupat,diya.gupta651@outlook.com,9057018487,Electrical and Electronics Engineering,BTech,2009-12-31
24BRS6729,Anjali Pillai,anjali.pillai844@yahoo.com,9700554502,AI & Robotics,BTech,2007-03-13
24BRS9021,Pooja Desai,pooja.desai501@outlook.com,9540957268,AI/R,BTech,08-05-2006
26BRS6404,sanya mishra,sanya.mishra665@gmail.com,9837742913,Artificial Intelligence and Robotics,B.Tech,2008-09-20
24BAI8282,Anjali Mishra,anjali.mishra484@outlook.com,9981182615,AI/ML,B.Tech,2007-09-27
21BAI9937,Riya Menon,riya.menon792@outlook.com,9933638824,Artificial Intelligence and Machine Learning,Bachelor of Technology,2004-12-26
21BRS2575,Vivek Kumar,vivek.kumar108@gmail.com,9574923435,AI/R,BTech,27-09-2004
26BAI7540,Karthik Signh,karthiksingh688@outlook.com,+91 9047541287,AI & ML,Bachelor of Technology,2007-08-09
23BAI6703,Karthik Gupta,karthik.gupta979@yahoo.com,9317405019,AI & ML,B.Tech,2006-07-17
24BRS3127,Adity aJoshi,aditya.joshi217@outlook.com,9920307033,Artificial Intelligence and Robotics,BTech,2007-09-24
26BCE7068,Aisha Gupta,aisha.gupta940@yahoo.com,9092311721,Computer Science and Engineering,B.Tech,2008-01-02
26BMH8290,Meera Iyer,meera.iyer581@yahoo.com,9954931241,MECH,Bachelor of Technology,2007-11-24
22BEC5908,P. Patel,priya.patel500@outlook.com,9067076027,Electronics,B.Tech,2005-06-01
21BAI9755,Kavya Menon,kavya.menon755@outlook.com,+91-99520-64945,AI/ML,B.Tech,2003-01-19
21BAI4109,P. Desai,priya.desai464@yahoo.com,+91-92435-25795,AI/ML,BTech,2004-07-07
22EEE7412,N. Agarwal,neha.agarwal505@gmail.com,9944291211,Electrical and Electronics,Bachelor of Technology,2005-02-16
24BCE2416,Aditya Patel,aditya.patel441@gmail.com,+91 9187591443,CSE,BTech,2006-08-09
24BEC6406,Rohan Bose,rohan.bose602@outlook.com,9906373321,ECE,B.Tech,2006-07-14
21BRS9606,MeeraMishra,meera.mishra688@outlook.com,+91-97514-23484,AI/R,B.Tech,2004-02-21
21BAI3691,Kavya Reddy,kavya.reddy983@outlook.com,9442779388,AI & ML,Bachelor of Technology,10/03/2004
21BEC1363,Meera Rao,meera.rao252@yahoo.com,+91-99360-21541,Electronics,BTech,2004-12-09
21BMH1791,Pooja Das,pooja.das496@yahoo.com,9783328461,Mechanical Engineering,BTech,2004-04-16
22BEC6591,NehaPillai,neha.pillai244@yahoo.com,9576041070,Electronics and Communication Engineering,Bachelor of Technology,2004-12-27
22BAI7310,Vivek Gupta,vivek.gupta826@gmail.com,9838234165,Artificial Intelligence & Machine Learning,B.Tech,16/12/2005
24EEE3465,Tanvi Mehta,tanvi.mehta311@gmail.com,+91 9127236774,EEE,BTech,2007-01-29
24BAI4358,Aditya Menon,aditya.menon458@outlook.com,9318787959,AI/ML,B.Tech,25/12/2007
23EEE6941,Priya Reddy,priya.reddy159@gmail.com,9941302186,Electrical and Electronics,BTech,2005-09-07
23BMH6542,Anjali Bose,anjali.bose407@yahoo.com,09966120008,Mechanical Engineering,Bachelor of Technology,2006-11-16
25BRS8739,Varun Sharma,varun.sharma612@yahoo.com,9468090940,AI & Robotics,Bachelor of Technology,2008-12-05
23BMH3791,P. Patel,pooja.patel519@gmail.com,9025479905,Mechanical,B.Tech,2004-07-04
21BEC2313,Tanvi Rao,tanvi.rao772@outlook.com,9772271705,Electronics and Communication Engineering,BTech,2003-03-26
23BRS1008,Rahul Verma,rahul.verma752@gmail.com,9328807832,AI & Robotics,B.Tech,2005-12-24
21BAI3437,Diya Desai,diya.desai856@yahoo.com,9814178421,Artificial Intelligence and Machine Learning,BTech,2002-09-06
26BMH9383,Pooja Menon,pooja.menon441@gmail.com,9031969105,MECH,B.Tech,2008-11-05
25BMH5563,priya mishra,priya.mishra496@gmail.com,9134488756,Mechanical,B.Tech,2007-01-04
24BEC3037,Akash Nair,akash.nair516@yahoo.com,9625585177,Electronics and Communication Engineering,B.Tech,2005-01-06
23BEC6559,Karthik Mishra,karthik.mishra731@yahoo.com,9437991375,Electronics and Communication,BTech,13-07-2004
25BMH3804,Akash Gupta,akash.gupta697@gmail.com,9912455134,MECH,Bachelor of Technology,2008-08-29
25BCE4546,Vivek Patel,vivek.patel411@outlook.com,+91-95916-44679,CSE,BTech,2006-10-05
25BMH3878,D. Agarwal,diyaagarwal754@yahoo.com,9889966640,MECH,B.Tech,2008-06-03
22EEE7224,RohanKapoor,rohan.kapoor307@gmail.com,9453830395,EEE,BTech,2003-01-22
25BMH4138,Ishita Kumar,ishita.kumar480@yahoo.com,9884102057,MECH,BTech,24-07-2007
26BAI2281,Varun Rao,varun.rao259@yahoo.com,9448543605,Artificial Intelligence & Machine Learning,B.Tech,2008-04-27
