reg_no,name,email,phone,branch,course,DOB
26BRS5657,Shreya Mishra,shreya.mishra443@gmail.com,9501734582,Artificial Intelligence and Robotics,B.Tech,2008-08-09
22BMH7091,Arjun Patel,arjun.patel262@yahoo.com,9964087773,Mechanical,B.Tech,2004-10-09
24BAI6460,Arjun Pillai,arjun.pillai298@gmail.com,9751814898,AI & ML,BTech,2005-02-28
25BMH5186,Vivek Mishra,vivek.mishra189@outlook.com,9864406244,Mechanical Engineering,BTech,2006-04-30
26BCE6436,Sanya Desai,sanya.desai390@outlook.com,9835028628,Computer Science,BTech,2009-07-16
25BCE5478,Rohan Verma,rohan.verma990@gmail.com,9063351001,Computer Science,BTech,2006-05-14
24EEE3926,Tanvi Bose,tanvi.bose229@gmail.com,9862432524,Electrical,B.Tech,2007-05-19
24EEE8383,Tanvi Verma,tanvi.verma896@gmail.com,9660946798,Electrical and Electronics,B.Tech,2005-05-15
22BEC9458,Rahul Rao,rahul.rao193@outlook.com,9349494249,ECE,B.Tech,2004-05-13
25BAI3436,Arjun Reddy,arjun.reddy798@yahoo.com,9841701189,AI & ML,BTech,2007-07-13
23BEC5296,Neha Nair,neha.nair186@outlook.com,9211795917,Electronics,B.Tech,2004-09-15
25BAI1366,Akash Mehta,akash.mehta543@outlook.com,9015415629,AI & ML,Bachelor of Technology,2008-08-10
26BRS2216,Ishita Kapoor,ishita.kapoor498@gmail.com,9522510515,AI/R,B.Tech,2007-08-23
21BRS3290,Neha Sharma,neha.sharma615@outlook.com,9651307070,Artificial Intelligence and Robotics,B.Tech,2002-01-09
22BAI5738,Akash Kapoor,akash.kapoor710@outlook.com,9187206757,Artificial Intelligence & Machine Learning,BTech,2005-12-16
26BAI6493,Akash Agarwal,akash.agarwal257@gmail.com,9635219024,Artificial Intelligence & Machine Learning,BTech,2009-09-21
25BMH1407,Aditya Rao,aditya.rao208@outlook.com,9512427786,Mechanical Engineering,B.Tech,2007-09-24
23BCE8070,Diya Kumar,diya.kumar489@yahoo.com,9657309688,Computer Science and Engineering,B.Tech,2004-06-12
21BAI3529,Anjali Agarwal,anjali.agarwal588@gmail.com,9192612254,AI/ML,B.Tech,2003-01-24
22BCE1307,Karthik Menon,karthik.menon934@gmail.com,9378118325,CSE,BTech,2005-09-12
22BEC8357,Ananya Sharma,ananya.sharma449@outlook.com,9496296870,Electronics and Communication,Bachelor of Technology,2005-12-20
23BEC9258,Rahul Joshi,rahul.joshi612@outlook.com,9953039333,ECE,Bachelor of Technology,2005-03-11
21BRS4317,Aditya Kapoor,aditya.kapoor264@gmail.com,9667523197,AI & Robotics,B.Tech,2003-08-20
25BAI9690,Vivek Reddy,vivek.reddy913@yahoo.com,9072264130,AI/ML,BTech,2008-01-18
21EEE1493,Meera Bose,meera.bose727@gmail.com,9161949646,Electrical,BTech,2004-01-17
26EEE1755,Diya Gupta,diya.gupta651@outlook.com,9057018487,EEE,Bachelor of Technology,2009-12-31
24BRS6729,Anjali Pillai,anjali.pillai844@yahoo.com,9700554502,AI/R,B.Tech,2007-03-13
24BRS9021,Pooja Desai,pooja.desai501@outlook.com,9540957268,Artificial Intelligence and Robotics,BTech,2006-05-08
26BRS6404,Sanya Mishra,sanya.mishra665@gmail.com,9837742913,Artificial Intelligence and Robotics,BTech,2008-09-20
24BAI8282,Anjali Mishra,anjali.mishra484@outlook.com,9981182615,Artificial Intelligence and Machine Learning,B.Tech,2007-09-27
21BAI9937,Riya Menon,riya.menon792@outlook.com,9933638824,Artificial Intelligence and Machine Learning,BTech,2004-12-26
21BRS2575,Vivek Kumar,vivek.kumar108@gmail.com,9574923435,AI & Robotics,Bachelor of Technology,2004-09-27
26BAI7540,Karthik Singh,karthik.singh688@outlook.com,9047541287,AI & ML,B.Tech,2007-08-09
23BAI6703,Karthik Gupta,karthik.gupta979@yahoo.com,9317405019,Artificial Intelligence and Machine Learning,B.Tech,2006-07-17
24BRS3127,Aditya Joshi,aditya.joshi217@gmail.com,9920307033,AI & Robotics,B.Tech,2007-09-24
26BCE7068,Aisha Gupta,aisha.gupta940@yahoo.com,9092311721,Computer Science and Engineering,Bachelor of Technology,2008-01-02
26BMH8290,Meera Iyer,meera.iyer581@yahoo.com,9954931241,Mechanical,B.Tech,2007-11-24
22BEC5908,Priya Patel,priya.patel500@outlook.com,9067076027,Electronics and Communication,B.Tech,2005-06-01
21BAI9755,Kavya Menon,kavya.menon755@gmail.com,9952064945,AI & ML,BTech,2003-01-19
21BAI4109,Priya Desai,priya.desai464@yahoo.com,9243525795,AI & ML,BTech,2004-07-07
